MAG_USE,RA,DEC,star_ok,MAIN_ID,PMRA,PMDEC
14.62,6.0641805,-72.083947,1,M048887,0.0,0.0
14.15,6.02028,-72.083936,1,M048927,0.0,0.0
14.55,6.0363285,-72.083931,1,M048943,0.0,0.0
14.59,5.9557065,-72.083926,1,M048960,0.0,0.0
14.5,6.025755,-72.083926,1,M048962,0.0,0.0
14.67,6.038826,-72.083921,1,M048977,0.0,0.0
14.42,6.027594000000001,-72.083896,1,M049057,0.0,0.0
14.2,6.0216375,-72.083842,1,M049225,0.0,0.0
14.6,6.011928,-72.083831,1,M049255,0.0,0.0
14.89,6.0541185,-72.083797,1,M049373,0.0,0.0
14.24,6.0371895,-72.083789,1,M049400,0.0,0.0
14.73,5.9452815,-72.083768,1,M049489,0.0,0.0
14.86,6.026565,-72.083759,1,M049526,0.0,0.0
13.08,6.0210345,-72.083754,1,M049545,0.0,0.0
14.33,5.9763839999999995,-72.083747,1,M049568,0.0,0.0
14.52,6.0397515,-72.083714,1,M049671,0.0,0.0
14.53,5.9895825,-72.083713,1,M049676,0.0,0.0
13.76,6.029151,-72.083644,1,M049916,0.0,0.0
14.63,5.993118,-72.08362,1,M050007,0.0,0.0
14.58,5.997719999999999,-72.083604,1,M050070,0.0,0.0
13.98,5.9945175,-72.083564,1,M050192,0.0,0.0
14.5,6.094872,-72.083547,1,M050251,0.0,0.0
14.11,6.060861,-72.083539,1,M050271,0.0,0.0
14.44,5.9658405,-72.083512,1,M050367,0.0,0.0
14.03,6.0027915,-72.083486,1,M050435,0.0,0.0
14.72,6.0293535,-72.083479,1,M050458,0.0,0.0
13.75,6.0226440000000006,-72.083433,1,M050606,0.0,0.0
14.52,5.9991855,-72.083428,1,M050622,0.0,0.0
14.84,5.994522,-72.083402,1,M050703,0.0,0.0
14.56,5.9808045000000005,-72.083394,1,M050734,0.0,0.0
14.49,5.9418180000000005,-72.083366,1,M050844,0.0,0.0
14.28,6.02031,-72.083335,1,M050951,0.0,0.0
14.49,6.0701655,-72.083296,1,M051082,0.0,0.0
14.25,6.0223889999999995,-72.083295,1,M051086,0.0,0.0
14.1,6.0399615,-72.083217,1,M051340,0.0,0.0
14.7,6.061707,-72.083212,1,M051355,0.0,0.0
14.19,6.0158055,-72.083211,1,M051359,0.0,0.0
14.66,6.0320715,-72.083171,1,M051498,0.0,0.0
14.86,6.0701955,-72.083165,1,M051522,0.0,0.0
14.54,5.9463539999999995,-72.083144,1,M051596,0.0,0.0
14.96,6.0880695,-72.083125,1,M051659,0.0,0.0
15.0,6.011769,-72.083116,1,M051698,0.0,0.0
13.7,6.00615,-72.083105,1,M051754,0.0,0.0
14.6,6.0502515,-72.08308,1,M051840,0.0,0.0
14.53,6.0315389999999995,-72.083032,1,M051989,0.0,0.0
13.93,6.0399389999999995,-72.083006,1,M052083,0.0,0.0
14.48,6.0448005,-72.083002,1,M052104,0.0,0.0
14.32,6.0265995,-72.082995,1,M052124,0.0,0.0
13.69,6.019533,-72.082946,1,M052296,0.0,0.0
14.33,6.0250710000000005,-72.08294,1,M052315,0.0,0.0
14.38,6.0295695,-72.082936,1,M052329,0.0,0.0
14.48,5.97138,-72.082886,1,M052491,0.0,0.0
14.54,6.0395235000000005,-72.082872,1,M052532,0.0,0.0
14.14,6.015366,-72.082828,1,M052704,0.0,0.0
14.58,6.0606165,-72.082769,1,M052924,0.0,0.0
14.35,6.020969999999999,-72.082765,1,M052941,0.0,0.0
14.58,6.084918,-72.082695,1,M053180,0.0,0.0
13.45,6.011457,-72.082673,1,M053252,0.0,0.0
