MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
33456,6.0531789948436945,-72.08215317777777,0.0,0.0,-0.5276,0.04288,-0.51928,0.03624,13,2.052000000000012,14.228,13.467,9.9,9.9,13.141654819847005,7217859.347963073
38849,6.026796262622083,-72.0816119111111,0.0,0.0,-0.6576,0.01144,-0.52324,0.01308,58,1.9489999999999892,14.237,13.469,9.9,9.9,13.143654819847004,7217859.347963073
11949,6.0324325678581046,-72.09600763333333,0.0,0.0,0.16756,0.02148,0.26564,0.08376,11,2.085999999999995,14.23,13.471,9.9,9.9,13.145654819847005,7217859.347963073
88061,6.070124919028783,-72.06694409999999,0.0,0.0,0.14472,0.1164,0.72488,0.0942,10,1.9530000000000172,14.241,13.473,9.9,9.9,13.147654819847006,7217859.347963073
34571,6.046864989830567,-72.09363472222222,0.0,0.0,0.63776,0.02972,-0.12228,0.05808,10,1.746000000000027,14.258,13.476,9.9,9.9,13.150654819847006,7217859.347963073
28840,6.080129765345167,-72.09032025555554,0.0,0.0,-0.34828,0.06032,-0.80036,0.09616,10,1.8860000000000046,14.254,13.481,9.9,9.9,13.155654819847005,7217859.347963073
42775,6.00748454688316,-72.08621935555556,0.0,0.0,-0.38432,0.03652,-0.21808,0.0244,17,1.9769999999999808,14.249,13.482,9.9,9.9,13.156654819847004,7217859.347963073
66227,6.035108387306054,-72.0799116111111,0.0,0.0,-0.01732,0.01872,0.36968,0.02904,34,1.8430000000000035,14.259,13.483,9.9,9.9,13.157654819847005,7217859.347963073
60808,6.063349831095476,-72.07169952222222,0.0,0.0,0.14616,0.11432,0.20188,0.0742,10,1.8730000000000135,14.257,13.483,9.9,9.9,13.157654819847005,7217859.347963073
15391,6.008808611460989,-72.10489835555555,0.0,0.0,0.7814,0.01376,-0.193,0.07252,10,4.55999999999999,14.08,13.485,9.9,9.9,13.159654819847004,7217859.347963073
38118,6.029603420417709,-72.08357134444444,0.0,0.0,0.45796,0.02052,0.57012,0.01296,73,1.8940000000000055,14.262,13.489,9.9,9.9,13.163654819847006,7217859.347963073
65686,6.038820728843605,-72.07254854444443,0.0,0.0,-1.3422,0.02364,0.22788,0.15408,10,1.9540000000000255,14.258,13.489,9.9,9.9,13.163654819847006,7217859.347963073
31352,6.064781213729855,-72.09093767777776,0.0,0.0,0.09536,0.03536,1.0884,0.03368,10,2.0290000000000106,14.253,13.489,9.9,9.9,13.163654819847006,7217859.347963073
61790,6.058491663207168,-72.07062738888888,0.0,0.0,0.23164,0.03556,0.36748,0.12616,10,1.5500000000000096,14.286,13.49,9.9,9.9,13.164654819847005,7217859.347963073
56382,6.094826035174972,-72.07851141111111,0.0,0.0,-0.19768,0.03964,0.1148,0.07076,10,2.1200000000000134,14.248,13.49,9.9,9.9,13.164654819847005,7217859.347963073
41185,6.015083968815129,-72.08518448888888,0.0,0.0,-0.992,0.01168,1.0312,0.0106,47,1.643999999999986,14.284,13.494,9.9,9.9,13.168654819847005,7217859.347963073
33550,6.052593210668991,-72.08908396666666,0.0,0.0,0.8778,0.03064,-0.0126,0.04708,10,2.0360000000000102,14.26,13.496,9.9,9.9,13.170654819847005,7217859.347963073
47828,5.979686448692051,-72.09421706666666,0.0,0.0,-0.83712,0.04592,0.07508,0.0364,12,2.051000000000002,14.259,13.496,9.9,9.9,13.170654819847005,7217859.347963073
36248,6.039061091900388,-72.0840206111111,0.0,0.0,0.06224,0.02152,-0.5984,0.01968,59,1.6200000000000028,14.292,13.5,9.9,9.9,13.174654819847005,7217859.347963073
5529,6.0832840247364866,-72.1015889,0.0,0.0,-0.61416,0.05576,0.18748,0.04264,9,2.01,14.266,13.5,9.9,9.9,13.174654819847005,7217859.347963073
26782,6.094259715219236,-72.08726748888888,0.0,0.0,0.02476,0.06356,0.15344,0.02888,9,1.9659999999999975,14.27,13.501,9.9,9.9,13.175654819847004,7217859.347963073
42774,6.006816270871809,-72.0864038111111,0.0,0.0,-0.06796,0.01568,0.1938,0.02988,12,1.7879999999999914,14.284,13.503,9.9,9.9,13.177654819847005,7217859.347963073
34792,6.045664176910646,-72.09028758888888,0.0,0.0,0.60536,0.02616,-0.04824,0.03912,13,2.0729999999999933,14.265,13.503,9.9,9.9,13.177654819847005,7217859.347963073
38857,6.026930168344248,-72.08092827777777,0.0,0.0,-0.28452,0.01232,0.4094,0.0116,75,1.7739999999999991,14.286,13.504,9.9,9.9,13.178654819847004,7217859.347963073
