MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M071111,0 24 6.22584,-72 4 38.568,-0.235,-0.28,18.466,19.182,18.38
M071113,0 23 51.57312,-72 4 38.5644,0.401,-1.83,19.61,21.08,19.73
M071120,0 24 2.83284,-72 4 38.5572,-0.978,0.338,17.31,18.486,17.54
M071125,0 24 4.21704,-72 4 38.55,-0.913,-0.441,18.663,19.362,18.56
M071130,0 24 3.95352,-72 4 38.5464,0.373,0.252,18.034,18.815,18.19
M071133,0 24 3.53052,-72 4 38.5464,-0.297,0.407,17.728,18.678,17.88
M071137,0 24 4.82472,-72 4 38.5428,-0.639,1.2,17.806,18.499,17.8
M071144,0 24 4.67928,-72 4 38.532,0.268,-0.204,17.929,18.699,18.03
M071163,0 23 49.4178,-72 4 38.5212,0.703,-0.118,18.92,20.052,19.18
M071169,0 24 4.48992,-72 4 38.514,0.866,-0.27,17.904,18.693,18.06
M071171,0 23 52.1178,-72 4 38.514,0.533,0.409,18.698,19.72,18.94
M071176,0 24 3.8538,-72 4 38.5104,0.206,-0.0882,17.271,18.294,17.48
M071178,0 23 51.44532,-72 4 38.5068,-1.31,-1.79,19.915,21.788,20.17
M071196,0 24 2.08332,-72 4 38.4816,0.314,-0.776,19.246,20.549,18.19
M071197,0 24 5.25312,-72 4 38.4816,0.597,-1.38,18.781,19.766,18.95
M071204,0 23 57.61644,-72 4 38.4708,-0.286,-1.52,19.263,20.603,19.49
M071211,0 24 4.35528,-72 4 38.4672,-0.266,-0.223,17.467,18.294,17.65
M071218,0 24 3.31488,-72 4 38.46,-0.5,-0.57,19.262,20.564,19.48
M071221,0 23 52.71144,-72 4 38.46,0.247,-0.0823,17.47,18.239,17.68
M071223,0 23 56.02236,-72 4 38.4564,0.0179,-0.821,19.119,20.262,19.29
M071225,0 23 50.70048,-72 4 38.4564,0.88,-0.266,17.762,18.571,17.98
M071229,0 24 7.19028,-72 4 38.4492,-0.00383,0.483,17.479,18.282,17.61
M071239,0 23 49.32276,-72 4 38.4384,0.572,-0.235,19.145,20.36,19.38
M071252,0 24 4.86432,-72 4 38.424,-0.265,0.919,18.782,19.735,18.9
M071256,0 24 7.54704,-72 4 38.424,0.577,-0.684,17.823,18.558,17.92
M071260,0 23 52.4328,-72 4 38.4132,-0.482,0.261,19.522,21.093,19.83
M071261,0 24 6.90624,-72 4 38.4132,-1.73,0.609,19.112,20.329,19.3
M071266,0 24 4.91868,-72 4 38.406,1.04,-0.106,18.18,18.978,18.35
M071279,0 24 2.20644,-72 4 38.3988,-0.211,-0.692,19.065,20.125,18.37
M071285,0 23 54.8178,-72 4 38.3952,-0.36,-0.163,18.142,18.973,18.3
M071296,0 24 3.978,-72 4 38.3844,-1.15,-1.08,18.252,19.023,18.42
M071311,0 24 7.46028,-72 4 38.3628,-0.357,0.745,17.88,18.692,18.01
M071317,0 23 55.80708,-72 4 38.3556,1.31,-0.107,19.228,20.869,19.57
M071328,0 23 54.29472,-72 4 38.3412,0.324,0.714,19.048,20.236,19.33
M071330,0 23 50.26344,-72 4 38.3376,-0.572,0.357,18.457,19.407,18.69
M071331,0 24 5.96628,-72 4 38.3376,0.708,-0.612,18.411,19.283,18.55
M071332,0 24 2.18844,-72 4 38.3376,-0.0465,-0.25,18.444,19.211,18.46
M071340,0 24 3.7116,-72 4 38.3232,-1.27,-0.398,19.414,20.534,19.15
M071345,0 23 58.36308,-72 4 38.3196,-2.16,-1.16,17.601,18.386,17.82
M071360,0 23 50.3592,-72 4 38.3052,-0.0674,0.0931,19.123,20.311,19.34
M071367,0 24 4.70304,-72 4 38.2944,0.497,-1.03,18.14,18.879,18.17
M071373,0 23 51.65952,-72 4 38.2836,-0.757,-0.333,17.321,18.198,17.51
M071377,0 24 4.58568,-72 4 38.28,0.0657,-0.775,17.905,18.722,18.07
M071388,0 24 6.72768,-72 4 38.2692,0.97,-0.379,19.761,21.413,19.93
M071397,0 24 4.09824,-72 4 38.2548,0.35,1.3,19.272,20.572,19.4
M071400,0 24 4.29948,-72 4 38.2548,-0.107,0.496,17.716,18.595,17.86
M071401,0 23 50.77032,-72 4 38.2548,-1.26,0.539,19.525,21.005,19.76
M071411,0 24 4.17852,-72 4 38.244,-1.13,0.0983,19.796,21.464,20.09
M071416,0 23 47.35464,-72 4 38.2368,-1.28,0.323,17.189,18.591,17.5
M071420,0 24 3.93624,-72 4 38.2332,-0.378,-0.073,19.261,20.35,19.26
M071424,0 23 51.5004,-72 4 38.2296,-0.283,-1.27,17.733,18.456,17.91
M071426,0 24 5.6556,-72 4 38.226,-1.5,-0.112,18.249,19.065,18.37
M071435,0 24 6.45624,-72 4 38.2152,-0.702,-0.471,18.823,19.819,18.92
M071437,0 24 6.6024,-72 4 38.208,-0.0492,0.502,19.754,21.306,19.76
M071442,0 24 5.04396,-72 4 38.2044,0.594,-0.0683,19.364,20.701,19.55
M071452,0 24 6.56172,-72 4 38.1936,0.19,0.0859,18.616,19.51,17.91
M071464,0 23 55.90392,-72 4 38.1828,-0.649,-0.874,18.691,19.656,18.91
M071476,0 23 47.62464,-72 4 38.1684,0.014,0.207,18.393,19.269,18.62
M071477,0 24 3.8502,-72 4 38.1684,0.391,-0.119,19.669,21.105,19.86
M071480,0 24 2.8926,-72 4 38.1648,-0.207,-0.0331,18.557,19.499,18.74
M071483,0 24 5.2596,-72 4 38.1612,0.374,-0.965,18.603,19.531,18.75
M071486,0 23 54.92904,-72 4 38.154,0.0968,0.119,17.695,18.452,17.93
M071491,0 24 7.31016,-72 4 38.1468,-0.598,0.727,18.524,19.493,18.69
M071492,0 23 47.21172,-72 4 38.1468,-0.574,-0.301,16.514,18.198,16.88
M071497,0 24 4.36752,-72 4 38.136,-0.449,-0.535,19.148,20.145,18.57
M071500,0 24 7.09668,-72 4 38.1288,0.972,-0.419,19.598,21.548,19.81
M071502,0 24 7.38684,-72 4 38.1288,0.206,0.474,19.106,20.356,19.34
M071507,0 24 6.2694,-72 4 38.1216,-0.515,0.19,19.231,20.542,19.47
M071513,0 23 51.88704,-72 4 38.1144,-0.5,0.0546,19.288,20.776,19.55
M071518,0 23 48.95484,-72 4 38.1036,-0.787,1.26,19.347,20.665,19.51
M071521,0 23 47.54112,-72 4 38.1036,-0.0541,-0.211,18.765,19.713,18.96
M071535,0 23 55.08024,-72 4 38.0856,1.42,-0.285,19.898,21.597,20.16
M071540,0 24 5.42124,-72 4 38.082,-1.13,-0.152,17.783,18.564,17.8
M071542,0 24 4.64184,-72 4 38.082,-0.948,-0.271,15.892,17.672,16.22
M071551,0 23 56.19624,-72 4 38.0712,-0.0643,0.114,19.528,21.089,19.83
